Country,Store,Provider,Bandwidth
Colombia,3125,BW C&W,0
Colombia,3126,BW C&W,0
Colombia,3127,BW C&W,0
Colombia,3128,BW C&W,0
Colombia,3129,BW C&W,0
Colombia,3130,BW C&W,0
Colombia,3131,BW C&W,0
Colombia,3132,BW C&W,0
Colombia,3134,BW C&W,0
Colombia,3135,BW C&W,0
Colombia,3136,BW C&W,0
Colombia,3137,BW C&W,0
Colombia,3138,BW C&W,0
Colombia,3139,BW C&W,0
Colombia,3140,BW C&W,0
Colombia,3141,BW C&W,0
Colombia,3142,BW C&W,0
Colombia,3143,BW C&W,0
Colombia,3144,BW C&W,0
Colombia,3145,BW C&W,0
Colombia,3146,BW C&W,0
Colombia,3147,BW C&W,0
Colombia,3148,BW C&W,0
Colombia,3149,BW C&W,0
Colombia,3150,BW C&W,0
Colombia,3151,BW C&W,0
Colombia,3152,BW C&W,0
Colombia,3153,BW C&W,0
Colombia,3154,BW C&W,0
Colombia,3155,BW C&W,0
Colombia,3133,BW C&W,0
Colombia,3157,BW C&W,0
Colombia,3158,BW C&W,0
Colombia,3156,BW C&W,0
Colombia,3161,BW C&W,0
Colombia,3159,BW C&W,0
Colombia,3160,BW C&W,0
Colombia,3162,BW C&W,0
Colombia,3163,BW C&W,0
Colombia,3164,BW C&W,0
Colombia,3165,BW C&W,0
Colombia,3166,BW C&W,0
Colombia,3167,BW C&W,0
Colombia,3168,BW C&W,0
Colombia,3169,BW C&W,0
Colombia,3170,BW C&W,0
Colombia,3171,BW C&W,0
Colombia,3172,BW C&W,0
Colombia,3173,BW C&W,0
Colombia,3174,BW C&W,0
Colombia,3175,BW C&W,0
Colombia,3176,BW C&W,0
Colombia,3177,BW C&W,0
Colombia,3178,BW C&W,0
Colombia,3179,BW C&W,0
Colombia,3180,BW C&W,0
Colombia,3181,BW C&W,0
Colombia,3182,BW C&W,0
Colombia,3183,BW C&W,0
Colombia,3184,BW C&W,0
Colombia,3185,BW C&W,0
Colombia,3186,BW C&W,0
Colombia,3187,BW C&W,0
Colombia,3188,BW C&W,0
Colombia,3189,BW C&W,0
Colombia,3190,BW C&W,0
Colombia,3191,BW C&W,0
Colombia,3192,BW C&W,0
Colombia,3193,BW C&W,0
Colombia,3194,BW C&W,0
Colombia,3195,BW C&W,0
Colombia,3196,BW C&W,0
Colombia,3197,BW C&W,0
Colombia,3198,BW C&W,0
Colombia,3199,BW C&W,0
Colombia,3200,BW C&W,0
Colombia,3201,BW C&W,0
Colombia,3202,BW C&W,0
Colombia,3203,BW C&W,0
Colombia,3204,BW C&W,0
Colombia,3205,BW C&W,0
Colombia,3206,BW C&W,0
Colombia,3207,BW C&W,0
Colombia,3208,BW C&W,0
Colombia,3209,BW C&W,0
Colombia,3210,BW C&W,0
Colombia,3211,BW C&W,0
Colombia,3212,BW C&W,0
Colombia,3213,BW C&W,0
Colombia,3214,BW C&W,0
Colombia,3215,BW C&W,0
Colombia,3216,BW C&W,0
Colombia,3217,BW C&W,0
